# 1:time 2:Lum 3:eave 4:erms 5:eskw
0.0100 1.13716e-22 1.47718e+01 1.80336e+01 2.20992e+01
0.0110 1.11679e-22 1.43861e+01 1.74039e+01 2.11869e+01
0.0120 1.00276e-22 1.35800e+01 1.61186e+01 1.92512e+01
0.0130 1.09098e-22 1.38009e+01 1.63004e+01 1.92388e+01
0.0140 1.12015e-22 1.38609e+01 1.63265e+01 1.91833e+01
0.0150 1.13975e-22 1.38470e+01 1.63019e+01 1.91129e+01
0.0160 1.16797e-22 1.38867e+01 1.63145e+01 1.90563e+01
0.0170 1.18939e-22 1.39207e+01 1.63284e+01 1.90271e+01
0.0180 1.20552e-22 1.39172e+01 1.62768e+01 1.89207e+01
0.0190 1.21188e-22 1.38786e+01 1.62432e+01 1.88644e+01
0.0200 1.21862e-22 1.38882e+01 1.62223e+01 1.88050e+01
0.0210 1.22994e-22 1.39046e+01 1.62292e+01 1.87764e+01
0.0220 1.24194e-22 1.39203e+01 1.62515e+01 1.87965e+01
0.0230 1.25210e-22 1.38926e+01 1.62112e+01 1.87439e+01
0.0240 1.26548e-22 1.38737e+01 1.61681e+01 1.86673e+01
0.0250 1.27794e-22 1.38787e+01 1.61629e+01 1.86312e+01
0.0260 1.27417e-22 1.38305e+01 1.60952e+01 1.85457e+01
0.0270 1.28035e-22 1.38399e+01 1.60733e+01 1.84673e+01
0.0280 1.28819e-22 1.38378e+01 1.60494e+01 1.84097e+01
0.0290 1.29749e-22 1.38306e+01 1.60287e+01 1.83572e+01
0.0300 1.30498e-22 1.38611e+01 1.60448e+01 1.83512e+01
0.0310 1.31051e-22 1.38738e+01 1.60546e+01 1.83554e+01
0.0320 1.31828e-22 1.38964e+01 1.60657e+01 1.83499e+01
0.0330 1.32583e-22 1.39186e+01 1.60875e+01 1.83671e+01
0.0340 1.33211e-22 1.39512e+01 1.60895e+01 1.83351e+01
0.0350 1.33751e-22 1.39315e+01 1.60588e+01 1.82821e+01
0.0360 1.34000e-22 1.39198e+01 1.60318e+01 1.82300e+01
0.0370 1.34317e-22 1.39418e+01 1.60523e+01 1.82473e+01
0.0380 1.34654e-22 1.38891e+01 1.60159e+01 1.82154e+01
0.0390 1.35014e-22 1.39277e+01 1.60266e+01 1.81980e+01
0.0400 1.35877e-22 1.39511e+01 1.60572e+01 1.82321e+01
0.0410 1.36672e-22 1.39821e+01 1.60830e+01 1.82506e+01
0.0420 1.37319e-22 1.40084e+01 1.61116e+01 1.82821e+01
0.0430 1.38015e-22 1.40265e+01 1.61395e+01 1.83223e+01
0.0440 1.38528e-22 1.40429e+01 1.61588e+01 1.83440e+01
0.0450 1.38521e-22 1.40451e+01 1.61555e+01 1.83334e+01
0.0460 1.38580e-22 1.40562e+01 1.61675e+01 1.83440e+01
0.0470 1.38598e-22 1.40515e+01 1.61630e+01 1.83362e+01
0.0480 1.38805e-22 1.40723e+01 1.61772e+01 1.83424e+01
0.0490 1.39191e-22 1.40691e+01 1.61744e+01 1.83358e+01
0.0500 1.39494e-22 1.40785e+01 1.61843e+01 1.83451e+01
0.0510 1.39803e-22 1.40927e+01 1.62029e+01 1.83677e+01
0.0520 1.40009e-22 1.41184e+01 1.62394e+01 1.84173e+01
0.0530 1.40153e-22 1.41409e+01 1.62645e+01 1.84457e+01
0.0540 1.40387e-22 1.41554e+01 1.62866e+01 1.84762e+01
0.0550 1.40668e-22 1.41690e+01 1.63031e+01 1.84947e+01
0.0560 1.40876e-22 1.41768e+01 1.63109e+01 1.85014e+01
0.0570 1.41125e-22 1.41887e+01 1.63242e+01 1.85150e+01
0.0580 1.41249e-22 1.41955e+01 1.63332e+01 1.85258e+01
0.0590 1.41306e-22 1.42020e+01 1.63467e+01 1.85449e+01
0.0600 1.41359e-22 1.42061e+01 1.63518e+01 1.85500e+01
0.0610 1.41569e-22 1.42190e+01 1.63671e+01 1.85667e+01
0.0620 1.41844e-22 1.42328e+01 1.63823e+01 1.85829e+01
0.0630 1.42091e-22 1.42409e+01 1.63915e+01 1.85917e+01
0.0640 1.42315e-22 1.42575e+01 1.64078e+01 1.86079e+01
0.0650 1.42440e-22 1.42622e+01 1.64179e+01 1.86219e+01
0.0660 1.42541e-22 1.42702e+01 1.64297e+01 1.86374e+01
0.0670 1.42487e-22 1.42782e+01 1.64380e+01 1.86459e+01
0.0680 1.42427e-22 1.42808e+01 1.64434e+01 1.86537e+01
0.0690 1.42561e-22 1.42978e+01 1.64611e+01 1.86712e+01
0.0700 1.42737e-22 1.42913e+01 1.64584e+01 1.86701e+01
0.0710 1.42835e-22 1.43105e+01 1.64778e+01 1.86903e+01
0.0720 1.42931e-22 1.43163e+01 1.64888e+01 1.87059e+01
0.0730 1.43015e-22 1.43320e+01 1.65094e+01 1.87316e+01
0.0740 1.43205e-22 1.43548e+01 1.65392e+01 1.87696e+01
0.0750 1.43467e-22 1.43556e+01 1.65467e+01 1.87827e+01
0.0760 1.43684e-22 1.43666e+01 1.65620e+01 1.88022e+01
0.0770 1.43722e-22 1.43799e+01 1.65764e+01 1.88178e+01
0.0780 1.43771e-22 1.43774e+01 1.65768e+01 1.88198e+01
0.0790 1.43735e-22 1.43871e+01 1.65884e+01 1.88331e+01
0.0800 1.43790e-22 1.43981e+01 1.66054e+01 1.88553e+01
0.0810 1.43831e-22 1.44004e+01 1.66081e+01 1.88577e+01
0.0820 1.43938e-22 1.44063e+01 1.66167e+01 1.88683e+01
0.0830 1.43890e-22 1.44240e+01 1.66338e+01 1.88847e+01
0.0840 1.43869e-22 1.44424e+01 1.66526e+01 1.89036e+01
0.0850 1.43853e-22 1.44551e+01 1.66687e+01 1.89224e+01
0.0860 1.43876e-22 1.44633e+01 1.66791e+01 1.89352e+01
0.0870 1.43823e-22 1.44811e+01 1.66984e+01 1.89563e+01
0.0880 1.43812e-22 1.44959e+01 1.67131e+01 1.89710e+01
0.0890 1.43801e-22 1.44935e+01 1.67143e+01 1.89739e+01
0.0900 1.43813e-22 1.44965e+01 1.67213e+01 1.89842e+01
0.0910 1.43747e-22 1.44989e+01 1.67264e+01 1.89912e+01
0.0920 1.43647e-22 1.45174e+01 1.67448e+01 1.90106e+01
0.0930 1.43644e-22 1.45150e+01 1.67499e+01 1.90215e+01
0.0940 1.43582e-22 1.45274e+01 1.67667e+01 1.90428e+01
0.0950 1.43543e-22 1.45414e+01 1.67840e+01 1.90640e+01
0.0960 1.43452e-22 1.45532e+01 1.68010e+01 1.90864e+01
0.0970 1.43407e-22 1.45640e+01 1.68178e+01 1.91092e+01
0.0980 1.43412e-22 1.45680e+01 1.68289e+01 1.91273e+01
0.0990 1.43389e-22 1.45741e+01 1.68416e+01 1.91465e+01
0.1000 1.43378e-22 1.45795e+01 1.68536e+01 1.91648e+01
0.1010 1.43378e-22 1.45884e+01 1.68661e+01 1.91812e+01
0.1020 1.43200e-22 1.46117e+01 1.68913e+01 1.92087e+01
0.1030 1.43204e-22 1.46096e+01 1.68956e+01 1.92182e+01
0.1040 1.43088e-22 1.46242e+01 1.69130e+01 1.92388e+01
0.1050 1.43021e-22 1.46242e+01 1.69192e+01 1.92506e+01
0.1060 1.42818e-22 1.46476e+01 1.69416e+01 1.92735e+01
0.1070 1.42643e-22 1.46499e+01 1.69474e+01 1.92826e+01
0.1080 1.42516e-22 1.46602e+01 1.69609e+01 1.93003e+01
0.1090 1.42355e-22 1.46776e+01 1.69802e+01 1.93223e+01
0.1100 1.42331e-22 1.46915e+01 1.69991e+01 1.93480e+01
0.1110 1.42283e-22 1.46993e+01 1.70142e+01 1.93698e+01
0.1120 1.42142e-22 1.47100e+01 1.70288e+01 1.93890e+01
0.1130 1.42041e-22 1.47114e+01 1.70389e+01 1.94076e+01
0.1140 1.41965e-22 1.47283e+01 1.70590e+01 1.94325e+01
0.1150 1.41967e-22 1.47358e+01 1.70757e+01 1.94587e+01
0.1160 1.41830e-22 1.47513e+01 1.70946e+01 1.94817e+01
0.1170 1.41709e-22 1.47604e+01 1.71065e+01 1.94971e+01
0.1180 1.41537e-22 1.47595e+01 1.71081e+01 1.95009e+01
0.1190 1.41234e-22 1.47628e+01 1.71128e+01 1.95065e+01
0.1200 1.40946e-22 1.47717e+01 1.71223e+01 1.95175e+01
0.1210 1.40792e-22 1.47720e+01 1.71281e+01 1.95284e+01
0.1220 1.40699e-22 1.47733e+01 1.71340e+01 1.95385e+01
0.1230 1.40580e-22 1.47786e+01 1.71419e+01 1.95490e+01
0.1240 1.40387e-22 1.47968e+01 1.71610e+01 1.95694e+01
0.1250 1.40266e-22 1.48053e+01 1.71708e+01 1.95804e+01
0.1260 1.40103e-22 1.48073e+01 1.71775e+01 1.95928e+01
0.1270 1.39945e-22 1.48097e+01 1.71869e+01 1.96095e+01
0.1280 1.39781e-22 1.48376e+01 1.72175e+01 1.96459e+01
0.1290 1.39732e-22 1.48357e+01 1.72236e+01 1.96597e+01
0.1300 1.39543e-22 1.48577e+01 1.72485e+01 1.96896e+01
0.1310 1.39268e-22 1.48479e+01 1.72431e+01 1.96874e+01
0.1320 1.39063e-22 1.48618e+01 1.72582e+01 1.97047e+01
0.1330 1.38938e-22 1.48715e+01 1.72720e+01 1.97240e+01
0.1340 1.38749e-22 1.48767e+01 1.72813e+01 1.97380e+01
0.1350 1.38487e-22 1.48851e+01 1.72898e+01 1.97462e+01
0.1360 1.38214e-22 1.48905e+01 1.72962e+01 1.97538e+01
0.1370 1.37954e-22 1.48966e+01 1.73020e+01 1.97594e+01
0.1380 1.37690e-22 1.48977e+01 1.73085e+01 1.97716e+01
0.1390 1.37499e-22 1.49034e+01 1.73206e+01 1.97915e+01
0.1400 1.37364e-22 1.49199e+01 1.73405e+01 1.98166e+01
0.1410 1.37167e-22 1.49313e+01 1.73556e+01 1.98367e+01
0.1420 1.36865e-22 1.49378e+01 1.73647e+01 1.98491e+01
0.1430 1.36685e-22 1.49488e+01 1.73776e+01 1.98655e+01
0.1440 1.36507e-22 1.49486e+01 1.73844e+01 1.98799e+01
0.1450 1.36175e-22 1.49582e+01 1.73962e+01 1.98946e+01
0.1458 1.36024e-22 1.49650e+01 1.74070e+01 1.99102e+01
0.1460 1.36026e-22 1.49652e+01 1.74091e+01 1.99141e+01
0.1470 1.35805e-22 1.49723e+01 1.74184e+01 1.99261e+01
0.1480 1.35551e-22 1.49773e+01 1.74253e+01 1.99363e+01
0.1490 1.35259e-22 1.49782e+01 1.74288e+01 1.99418e+01
