# TBinMid=3.71519 ssec TBinWidth=7.77057 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   1.92752772E+09   1.99763995E+09   1.99763995E+09   1.54767063E+09   1.60327759E+09   1.60327759E+09
   9.80000000E-03   1.90784992E+09   1.97581160E+09   1.97581160E+09   1.53982580E+09   1.59751729E+09   1.59751729E+09
   1.00000000E-02   1.88653400E+09   1.95228016E+09   1.95228016E+09   1.53068604E+09   1.59022596E+09   1.59022596E+09
   1.02000000E-02   1.86372814E+09   1.92720673E+09   1.92720673E+09   1.52032922E+09   1.58148480E+09   1.58148480E+09
   1.04000000E-02   1.83957427E+09   1.90074532E+09   1.90074532E+09   1.50883145E+09   1.57137432E+09   1.57137432E+09
   1.06000000E-02   1.81420785E+09   1.87304269E+09   1.87304269E+09   1.49626693E+09   1.55997416E+09   1.55997416E+09
   1.08000000E-02   1.78775786E+09   1.84423827E+09   1.84423827E+09   1.48270782E+09   1.54736280E+09   1.54736280E+09
   1.10000000E-02   1.76034677E+09   1.81446420E+09   1.81446420E+09   1.46822421E+09   1.53361738E+09   1.53361738E+09
   1.12000000E-02   1.73209059E+09   1.78384537E+09   1.78384537E+09   1.45288402E+09   1.51881350E+09   1.51881350E+09
   1.14000000E-02   1.70309895E+09   1.75249954E+09   1.75249954E+09   1.43675296E+09   1.50302510E+09   1.50302510E+09
   1.16000000E-02   1.67347524E+09   1.72053749E+09   1.72053749E+09   1.41989447E+09   1.48632430E+09   1.48632430E+09
   1.18000000E-02   1.64331674E+09   1.68806319E+09   1.68806319E+09   1.40236976E+09   1.46878128E+09   1.46878128E+09
   1.20000000E-02   1.61271478E+09   1.65517401E+09   1.65517401E+09   1.38423772E+09   1.45046420E+09   1.45046420E+09
   1.22000000E-02   1.58175498E+09   1.62196095E+09   1.62196095E+09   1.36555499E+09   1.43143910E+09   1.43143910E+09
   1.24000000E-02   1.55051740E+09   1.58850887E+09   1.58850887E+09   1.34637591E+09   1.41176986E+09   1.41176986E+09
   1.26000000E-02   1.51907674E+09   1.55489671E+09   1.55489671E+09   1.32675258E+09   1.39151813E+09   1.39151813E+09
   1.28000000E-02   1.48750262E+09   1.52119777E+09   1.52119777E+09   1.30673485E+09   1.37074332E+09   1.37074332E+09
   1.30000000E-02   1.45585972E+09   1.48747996E+09   1.48747996E+09   1.28637037E+09   1.34950255E+09   1.34950255E+09
   1.32000000E-02   1.42420804E+09   1.45380602E+09   1.45380602E+09   1.26570461E+09   1.32785062E+09   1.32785062E+09
   1.34000000E-02   1.39260311E+09   1.42023379E+09   1.42023379E+09   1.24478090E+09   1.30584007E+09   1.30584007E+09
   1.36000000E-02   1.36109619E+09   1.38681645E+09   1.38681645E+09   1.22364048E+09   1.28352112E+09   1.28352112E+09
   1.38000000E-02   1.32973450E+09   1.35360277E+09   1.35360277E+09   1.20232256E+09   1.26094172E+09   1.26094172E+09
   1.40000000E-02   1.29856142E+09   1.32063732E+09   1.32063732E+09   1.18086430E+09   1.23814758E+09   1.23814758E+09
   1.42000000E-02   1.26761665E+09   1.28796073E+09   1.28796073E+09   1.15930095E+09   1.21518215E+09   1.21518215E+09
   1.44000000E-02   1.23693648E+09   1.25560987E+09   1.25560987E+09   1.13766585E+09   1.19208670E+09   1.19208670E+09
   1.46000000E-02   1.20655392E+09   1.22361809E+09   1.22361809E+09   1.11599049E+09   1.16890034E+09   1.16890034E+09
   1.48000000E-02   1.17649888E+09   1.19201543E+09   1.19201543E+09   1.09430456E+09   1.14566006E+09   1.14566006E+09
   1.50000000E-02   1.14679839E+09   1.16082879E+09   1.16082879E+09   1.07263603E+09   1.12240080E+09   1.12240080E+09
   1.52000000E-02   1.11747674E+09   1.13008216E+09   1.13008216E+09   1.05101120E+09   1.09915547E+09   1.09915547E+09
   1.54000000E-02   1.08855563E+09   1.09979675E+09   1.09979675E+09   1.02945470E+09   1.07595500E+09   1.07595500E+09
   1.56000000E-02   1.06005434E+09   1.06999119E+09   1.06999119E+09   1.00798965E+09   1.05282842E+09   1.05282842E+09
   1.58000000E-02   1.03198989E+09   1.04068173E+09   1.04068173E+09   9.86637629E+08   1.02980293E+09   1.02980293E+09
   1.60000000E-02   1.00437718E+09   1.01188233E+09   1.01188233E+09   9.65418757E+08   1.00690390E+09   1.00690390E+09
   1.62000000E-02   9.77229080E+08   9.83604857E+08   9.83604857E+08   9.44351768E+08   9.84154996E+08   9.84154996E+08
   1.64000000E-02   9.50556637E+08   9.55859218E+08   9.55859218E+08   9.23454047E+08   9.61578182E+08   9.61578182E+08
   1.66000000E-02   9.24369138E+08   9.28653496E+08   9.28653496E+08   9.02741687E+08   9.39193827E+08   9.39193827E+08
   1.68000000E-02   8.98674254E+08   9.01994077E+08   9.01994077E+08   8.82229547E+08   9.17020741E+08   9.17020741E+08
   1.70000000E-02   8.73478144E+08   8.75885779E+08   8.75885779E+08   8.61931299E+08   8.95076243E+08   8.95076243E+08
   1.72000000E-02   8.48785569E+08   8.50331963E+08   8.50331963E+08   8.41859483E+08   8.73376223E+08   8.73376223E+08
   1.74000000E-02   8.24599986E+08   8.25334648E+08   8.25334648E+08   8.22025556E+08   8.51935199E+08   8.51935199E+08
   1.76000000E-02   8.00923646E+08   8.00894614E+08   8.00894614E+08   8.02439939E+08   8.30766378E+08   8.30766378E+08
   1.78000000E-02   7.77757690E+08   7.77011500E+08   7.77011500E+08   7.83112071E+08   8.09881716E+08   8.09881716E+08
   1.80000000E-02   7.55102229E+08   7.53683900E+08   7.53683900E+08   7.64050449E+08   7.89291976E+08   7.89291976E+08
   1.82000000E-02   7.32956427E+08   7.30909451E+08   7.30909451E+08   7.45262678E+08   7.69006782E+08   7.69006782E+08
   1.84000000E-02   7.11318580E+08   7.08684913E+08   7.08684913E+08   7.26755512E+08   7.49034677E+08   7.49034677E+08
