# TBinMid=4.00279 ssec TBinWidth=8.69483 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   4.55704509E-01   5.39230144E-01   5.39230144E-01   1.02009410E-11   7.23922908E-11   7.23922908E-11
   2.00000000E-04   4.33280943E+06   4.29793689E+06   4.29793689E+06   4.48281919E+06   3.64318099E+06   3.64318099E+06
   4.00000000E-04   1.88638919E+07   1.87048978E+07   1.87048978E+07   1.95721832E+07   1.62520461E+07   1.62520461E+07
   6.00000000E-04   4.49895434E+07   4.48296890E+07   4.48296890E+07   4.55188633E+07   3.83673738E+07   3.83673738E+07
   8.00000000E-04   8.29295478E+07   8.30464514E+07   8.30464514E+07   8.17167774E+07   6.97227944E+07   6.97227944E+07
   1.00000000E-03   1.32370226E+08   1.33153197E+08   1.33153197E+08   1.27258631E+08   1.09739664E+08   1.09739664E+08
   1.20000000E-03   1.92678823E+08   1.94592528E+08   1.94592528E+08   1.81114960E+08   1.57689696E+08   1.57689696E+08
   1.40000000E-03   2.63018827E+08   2.66572396E+08   2.66572396E+08   2.42219503E+08   2.12774139E+08   2.12774139E+08
   1.60000000E-03   3.42424297E+08   3.48145475E+08   3.48145475E+08   3.09515861E+08   2.74168397E+08   2.74168397E+08
   1.80000000E-03   4.29852385E+08   4.38266366E+08   4.38266366E+08   3.81984509E+08   3.41049133E+08   3.41049133E+08
   2.00000000E-03   5.24222023E+08   5.35834486E+08   5.35834486E+08   4.58658619E+08   4.12611403E+08   4.12611403E+08
   2.20000000E-03   6.24442762E+08   6.39726562E+08   6.39726562E+08   5.38633033E+08   4.88079667E+08   4.88079667E+08
   2.40000000E-03   7.29436211E+08   7.48821184E+08   7.48821184E+08   6.21068841E+08   5.66714830E+08   5.66714830E+08
   2.60000000E-03   8.38151830E+08   8.62017215E+08   8.62017215E+08   7.05195058E+08   6.47818613E+08   6.47818613E+08
   2.80000000E-03   9.49578474E+08   9.78247511E+08   9.78247511E+08   7.90308367E+08   7.30736091E+08   7.30736091E+08
   3.00000000E-03   1.06275274E+09   1.09648912E+09   1.09648912E+09   8.75771552E+08   8.14856918E+08   8.14856918E+08
   3.20000000E-03   1.17676497E+09   1.21577085E+09   1.21577085E+09   9.61011081E+08   8.99615636E+08   8.99615636E+08
   3.40000000E-03   1.29076355E+09   1.33517891E+09   1.33517891E+09   1.04551412E+09   9.84491300E+08   9.84491300E+08
   3.60000000E-03   1.40395789E+09   1.45386110E+09   1.45386110E+09   1.12882520E+09   1.06900662E+09   1.06900662E+09
   3.80000000E-03   1.51562041E+09   1.57102980E+09   1.57102980E+09   1.21054275E+09   1.15272677E+09   1.15272677E+09
   4.00000000E-03   1.62508781E+09   1.68596414E+09   1.68596414E+09   1.29031548E+09   1.23525790E+09   1.23525790E+09
   4.20000000E-03   1.73176154E+09   1.79801125E+09   1.79801125E+09   1.36783884E+09   1.31624552E+09   1.31624552E+09
   4.40000000E-03   1.83510771E+09   1.90658680E+09   1.90658680E+09   1.44285150E+09   1.39537271E+09   1.39537271E+09
   4.60000000E-03   1.93465643E+09   2.01117483E+09   2.01117483E+09   1.51513196E+09   1.47235833E+09   1.47235833E+09
   4.80000000E-03   2.03000055E+09   2.11132693E+09   2.11132693E+09   1.58449533E+09   1.54695510E+09   1.54695510E+09
   5.00000000E-03   2.12079398E+09   2.20666074E+09   2.20666074E+09   1.65079013E+09   1.61894769E+09   1.61894769E+09
   5.20000000E-03   2.20674941E+09   2.29685792E+09   2.29685792E+09   1.71389545E+09   1.68815087E+09   1.68815087E+09
   5.40000000E-03   2.28763574E+09   2.38166154E+09   2.38166154E+09   1.77371809E+09   1.75440758E+09   1.75440758E+09
   5.60000000E-03   2.36327508E+09   2.46087300E+09   2.46087300E+09   1.83018996E+09   1.81758711E+09   1.81758711E+09
   5.80000000E-03   2.43353943E+09   2.53434864E+09   2.53434864E+09   1.88326567E+09   1.87758327E+09   1.87758327E+09
   6.00000000E-03   2.49834716E+09   2.60199594E+09   2.60199594E+09   1.93292024E+09   1.93431267E+09   1.93431267E+09
   6.20000000E-03   2.55765934E+09   2.66376958E+09   2.66376958E+09   1.97914695E+09   1.98771297E+09   1.98771297E+09
   6.40000000E-03   2.61147593E+09   2.71966727E+09   2.71966727E+09   2.02195541E+09   2.03774128E+09   2.03774128E+09
   6.60000000E-03   2.65983198E+09   2.76972565E+09   2.76972565E+09   2.06136972E+09   2.08437255E+09   2.08437255E+09
   6.80000000E-03   2.70279380E+09   2.81401602E+09   2.81401602E+09   2.09742681E+09   2.12759810E+09   2.12759810E+09
   7.00000000E-03   2.74045532E+09   2.85264031E+09   2.85264031E+09   2.13017486E+09   2.16742413E+09   2.16742413E+09
   7.20000000E-03   2.77293440E+09   2.88572703E+09   2.88572703E+09   2.15967191E+09   2.20387035E+09   2.20387035E+09
   7.40000000E-03   2.80036951E+09   2.91342749E+09   2.91342749E+09   2.18598453E+09   2.23696872E+09   2.23696872E+09
   7.60000000E-03   2.82291637E+09   2.93591218E+09   2.93591218E+09   2.20918663E+09   2.26676216E+09   2.26676216E+09
   7.80000000E-03   2.84074504E+09   2.95336735E+09   2.95336735E+09   2.22935837E+09   2.29330341E+09   2.29330341E+09
   8.00000000E-03   2.85403701E+09   2.96599191E+09   2.96599191E+09   2.24658517E+09   2.31665392E+09   2.31665392E+09
   8.20000000E-03   2.86298266E+09   2.97399451E+09   2.97399451E+09   2.26095679E+09   2.33688284E+09   2.33688284E+09
   8.40000000E-03   2.86777895E+09   2.97759095E+09   2.97759095E+09   2.27256649E+09   2.35406599E+09   2.35406599E+09
   8.60000000E-03   2.86862727E+09   2.97700180E+09   2.97700180E+09   2.28151031E+09   2.36828502E+09   2.36828502E+09
   8.80000000E-03   2.86573156E+09   2.97245030E+09   2.97245030E+09   2.28788639E+09   2.37962653E+09   2.37962653E+09
   9.00000000E-03   2.85929667E+09   2.96416051E+09   2.96416051E+09   2.29179434E+09   2.38818130E+09   2.38818130E+09
