# TBinMid=3.71519 ssec TBinWidth=7.77057 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   3.61731285E+00   7.96394267E+01   7.96394267E+01   1.30982935E-05   3.15505318E-06   3.15505318E-06
   2.00000000E-04   2.65142538E+06   2.24234268E+06   2.24234268E+06   2.06825685E+06   2.52965810E+06   2.52965810E+06
   4.00000000E-04   1.25294758E+07   1.10540250E+07   1.10540250E+07   9.88624793E+06   1.19637647E+07   1.19637647E+07
   6.00000000E-04   3.04360962E+07   2.85567369E+07   2.85567369E+07   2.42326542E+07   2.90507330E+07   2.90507330E+07
   8.00000000E-04   5.62248089E+07   5.56481096E+07   5.56481096E+07   4.51393532E+07   5.36478463E+07   5.36478463E+07
   1.00000000E-03   8.93599183E+07   9.25787975E+07   9.25787975E+07   7.23185163E+07   8.52488513E+07   8.52488513E+07
   1.20000000E-03   1.29115407E+08   1.39174051E+08   1.39174051E+08   1.05315272E+08   1.23171193E+08   1.23171193E+08
   1.40000000E-03   1.74676976E+08   1.94967295E+08   1.94967295E+08   1.43585949E+08   1.66651328E+08   1.66651328E+08
   1.60000000E-03   2.25201358E+08   2.59290613E+08   2.59290613E+08   1.86543796E+08   2.14899717E+08   2.14899717E+08
   1.80000000E-03   2.79852704E+08   3.31339256E+08   3.31339256E+08   2.33587505E+08   2.67134346E+08   2.67134346E+08
   2.00000000E-03   3.37825271E+08   4.10218809E+08   4.10218809E+08   2.84119619E+08   3.22601516E+08   3.22601516E+08
   2.20000000E-03   3.98357380E+08   4.94980193E+08   4.94980193E+08   3.37558570E+08   3.80588585E+08   3.80588585E+08
   2.40000000E-03   4.60739585E+08   5.84646049E+08   5.84646049E+08   3.93346526E+08   4.40431398E+08   4.40431398E+08
   2.60000000E-03   5.24318940E+08   6.78230998E+08   6.78230998E+08   4.50954405E+08   5.01518152E+08   5.01518152E+08
   2.80000000E-03   5.88500605E+08   7.74757631E+08   7.74757631E+08   5.09884917E+08   5.63290803E+08   5.63290803E+08
   3.00000000E-03   6.52747629E+08   8.73269495E+08   8.73269495E+08   5.69674236E+08   6.25244821E+08   6.25244821E+08
   3.20000000E-03   7.16579516E+08   9.72841950E+08   9.72841950E+08   6.29892683E+08   6.86927802E+08   6.86927802E+08
   3.40000000E-03   7.79569994E+08   1.07259141E+09   1.07259141E+09   6.90144726E+08   7.47937336E+08   7.47937336E+08
   3.60000000E-03   8.41344265E+08   1.17168329E+09   1.17168329E+09   7.50068477E+08   8.07918402E+08   8.07918402E+08
   3.80000000E-03   9.01575961E+08   1.26933874E+09   1.26933874E+09   8.09334846E+08   8.66560480E+08   8.66560480E+08
   4.00000000E-03   9.59983942E+08   1.36484019E+09   1.36484019E+09   8.67646452E+08   9.23594521E+08   9.23594521E+08
   4.20000000E-03   1.01632904E+09   1.45753581E+09   1.45753581E+09   9.24736360E+08   9.78789886E+08   9.78789886E+08
   4.40000000E-03   1.07041083E+09   1.54684261E+09   1.54684261E+09   9.80366716E+08   1.03195131E+09   1.03195131E+09
   4.60000000E-03   1.12206446E+09   1.63224841E+09   1.63224841E+09   1.03432731E+09   1.08291597E+09   1.08291597E+09
